campaign,date,cost,conversions,clicks,impressions,ctr,cvr,cpa
a&c_EMEA_BI_Tableau_Exact,2025-12-01,19.0,1.0,1,2,0.5,1.0,19.0
a&c_EMEA_BI_Tableau_Exact,2026-01-15,3.55,0.0,1,7,0.1429,0.0,
a&c_EMEA_BI_Tableau_Exact,2026-02-05,11.76,0.0,1,1,1.0,0.0,
a&c_EMEA_BI_Tableau_Exact,2026-02-24,7.56,0.0,2,9,0.22219999999999998,0.0,
a&c_EMEA_MEASURE_Cookie Consent_Exact,2025-12-01,9.98,0.0,1,0,0.0,0.0,
a&c_EMEA_MEASURE_Cookie Consent_Exact,2026-02-06,12.76,0.0,2,3,0.6667000000000001,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-02,55.32,1.0,3,17,0.1765,0.3333,55.32
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-03,5.72,0.0,2,14,0.1429,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-04,24.12,0.0,1,19,0.0526,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-05,19.77,1.0,1,15,0.0667,1.0,19.77
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-10,25.15,1.0,3,22,0.1364,0.3333,25.15
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-11,5.94,0.0,1,9,0.11109999999999999,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2025-12-12,55.22,0.0,2,11,0.1818,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-05,1.84,0.0,1,22,0.0455,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-07,4.63,0.0,1,17,0.0588,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-08,4.38,0.0,1,19,0.0526,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-09,4.66,0.0,2,13,0.15380000000000002,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-14,22.31,0.0,1,25,0.04,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-19,2.32,0.0,1,11,0.0909,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-20,14.99,0.0,1,17,0.0588,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-21,8.42,0.0,2,22,0.0909,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-23,5.33,0.0,1,8,0.125,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-26,5.37,0.0,1,17,0.0588,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-01-28,13.67,0.0,2,26,0.07690000000000001,0.0,
a&c_EMEA_MEASURE_GA_Training & Audits_Exact,2026-02-03,37.16,0.0,2,33,0.060599999999999994,0.0,
