campaign,item_id,product_title,product_type_1st_level,brand,currency_code,cost,clicks,impr,conversions,conv_value,cost_per_conversion,roas,ctr,cpc,conversion_rate,date,cpa
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,atb01ssvtvmed,Rapha - Women's Lightweight Cycling Base Layer - Short Sleeve - Green - Medium,womens,rapha,GBP,3.11,4,1443,1.13,198.22,2.75,63.736334405144696,0.0027720027720027,0.7775,0.2825,2025-12-18 13:12:08.398777,2.752212389380531
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,beq02xxprymed,Rapha - Men's Pro Team Cycling Bib Shorts III - Long - Red - Medium,mens,rapha,GBP,2.26,6,915,0.0,0.0,0.0,0.0,0.0065573770491803,0.3766666666666666,0.0,2025-12-18 13:12:08.398777,
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,bre01xxbbasml,Rapha - Women's All Day Tights - Schwarz - Black/Grey - Small,frauen,rapha,GBP,3.8,9,1922,0.0,0.0,0.0,0.0,0.0046826222684703,0.4222222222222222,0.0,2025-12-18 13:12:08.398777,
JP_JA_PaidSearch_Google_PMAX_AlwaysOn_Conv,bnz01xxklwlrg,Rapha - Women's Pro Team Insulated Gilet - グリーン - Moss Green/White - Large,サイクリング ジレ,rapha,GBP,0.02,0,838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-12-18 13:12:08.398777,
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,bfo01xxvklmed,Rapha - Women's Pro Team Long Sleeve Lightweight Cycling Jersey - Green - Medium,womens,rapha,GBP,56.56,47,4130,3.47,997.28,16.28,17.632248939179632,0.0113801452784503,1.203404255319149,0.0738297872340425,2025-12-18 13:12:08.398777,16.29971181556196
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,ckf01xxmulsml,Rapha - EF Men's Pro Team Cycling Bib Shorts III - Regular - Multicolour - Small,mens,rapha,GBP,10.1,15,1645,0.82,301.4,12.35,29.84158415841584,0.0091185410334346,0.6733333333333333,0.0546666666666666,2025-12-18 13:12:08.398777,12.317073170731708
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,cja01xxagrmed,Rapha - Women's MTB Gore-Tex Pants - Black - Black/Dark Grey - Medium,shorts & trousers,rapha,GBP,0.0,0,6,0.0,0.0,0.0,,0.0,0.0,0.0,2025-12-18 13:12:08.398777,
JP_JA_PaidSearch_Google_PMAX_AlwaysOn_Conv,bct03xxbbkmed,Rapha - メンズ パッド付きカーゴ ウィンター タイツ - ブラック/ブラック - ミディアム,サイクリング タイツ,rapha,GBP,0.43,1,463,0.0,0.0,0.0,0.0,0.0021598272138228,0.43,0.0,2025-12-18 13:12:08.398777,
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,ctx01xxmulxlg,Rapha - EF Women's Pro Team Aero Cycling Jersey - New Zealand - Multicolour - X-Large,womens,rapha,GBP,0.82,1,94,0.0,0.0,0.0,0.0,0.0106382978723404,0.82,0.0,2025-12-18 13:12:08.398777,
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,bey01lsiskmed,Rapha - Men's Pro Team Long Sleeve Lightweight Cycling Jersey - Grey - Medium,jerseys,rapha,GBP,3.94,4,410,0.0,0.0,0.0,0.0,0.0097560975609756,0.985,0.0,2025-12-18 13:12:08.398777,
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,box01xxddwxsm,Rapha - Women's Pro Team Lightweight Cycling Tights - Green - X-Small,womens,rapha,GBP,0.0,0,38,0.0,0.0,0.0,,0.0,0.0,0.0,2025-12-18 13:12:08.398777,
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,cls01xxwht405,Rapha - Classic Cycling Shoes - White - 40.5,unisex,rapha,GBP,3.97,4,388,0.0,0.0,0.0,0.0,0.0103092783505154,0.9925,0.0,2025-12-18 13:12:08.398777,
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,wbi04xxdnpmed,Rapha - Women's Brevet Insulated Gilet - Navy - Medium,gilets,rapha,GBP,1.21,1,208,0.0,0.0,0.0,0.0,0.0048076923076923,1.21,0.0,2025-12-18 13:12:08.398777,
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,cjh01xxmulxlg,Rapha - Could've Gone Pro Cycling Socks - Regular - Multicolour - X-Large,socks & overshoes,rapha,GBP,0.0,0,12,0.0,0.0,0.0,,0.0,0.0,0.0,2025-12-18 13:12:08.398777,
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,cfm01xxgrwlrg,Rapha - Men's Cotton Logo T-Shirt - Grey - Grey/White - Large,t-shirts & tops,rapha,GBP,0.0,0,32,0.0,0.0,0.0,,0.0,0.0,0.0,2025-12-18 13:12:08.398777,
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,bet02xxfhksml,Rapha - Men's Explore Technical T-Shirt - Brown - Small,mens,rapha,GBP,0.0,0,46,0.0,0.0,0.0,,0.0,0.0,0.0,2025-12-18 13:12:08.398777,
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,cls01xxwht440,Rapha Classic Fahrradschuhe – Weiß – 44,unisex,rapha,GBP,137.12,231,26536,10.76,2985.52,12.75,21.773045507584598,0.0087051552607778,0.5935930735930736,0.0465800865800865,2025-12-18 13:12:08.398777,12.743494423791823
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,bfj01xxbclmed,Rapha - Men's Lightweight Cycling Base Layer - Short Sleeve - Schwarz - Black/Black - Medium,männer,rapha,GBP,1.2,2,341,0.0,0.0,0.0,0.0,0.0058651026392961,0.6,0.0,2025-12-18 13:12:08.398777,
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,wso01xxbbkxsm,Rapha - Women's Commuter Shorts - Black - X-Small,shorts & trousers,rapha,GBP,0.85,2,164,0.0,0.0,0.0,0.0,0.0121951219512195,0.425,0.0,2025-12-18 13:12:08.398777,
